wave,control_id,control_name,target_id,repository_name,decision,rationale,decision_owner,decision_source
2D,EMS-CTRL-001,Engineering Governance Policy,REPO-001,bluto,NOT_APPLICABLE,Organization/EMS-level control is evaluated at REPO-EMS rather than separately for each product repository.,Engineering Management,POLICY_ORG_ONLY
2D,EMS-CTRL-001,Engineering Governance Policy,REPO-002,fiskroad,NOT_APPLICABLE,Organization/EMS-level control is evaluated at REPO-EMS rather than separately for each product repository.,Engineering Management,POLICY_ORG_ONLY
2D,EMS-CTRL-001,Engineering Governance Policy,REPO-003,hometown,NOT_APPLICABLE,Organization/EMS-level control is evaluated at REPO-EMS rather than separately for each product repository.,Engineering Management,POLICY_ORG_ONLY
2D,EMS-CTRL-001,Engineering Governance Policy,REPO-004,nono,NOT_APPLICABLE,Organization/EMS-level control is evaluated at REPO-EMS rather than separately for each product repository.,Engineering Management,POLICY_ORG_ONLY
2D,EMS-CTRL-001,Engineering Governance Policy,REPO-005,olive,NOT_APPLICABLE,Organization/EMS-level control is evaluated at REPO-EMS rather than separately for each product repository.,Engineering Management,POLICY_ORG_ONLY
2D,EMS-CTRL-001,Engineering Governance Policy,REPO-006,popeye,NOT_APPLICABLE,Organization/EMS-level control is evaluated at REPO-EMS rather than separately for each product repository.,Engineering Management,POLICY_ORG_ONLY
2D,EMS-CTRL-001,Engineering Governance Policy,REPO-EMS,ems,APPLICABLE,EMS repository is the authoritative target for EMS/organization controls and its own engineering controls.,Engineering Management,POLICY_EMS_TARGET
2D,EMS-CTRL-002,Controlled Document Management,REPO-001,bluto,NOT_APPLICABLE,Organization/EMS-level control is evaluated at REPO-EMS rather than separately for each product repository.,Engineering Management,POLICY_ORG_ONLY
2D,EMS-CTRL-002,Controlled Document Management,REPO-002,fiskroad,NOT_APPLICABLE,Organization/EMS-level control is evaluated at REPO-EMS rather than separately for each product repository.,Engineering Management,POLICY_ORG_ONLY
2D,EMS-CTRL-002,Controlled Document Management,REPO-003,hometown,NOT_APPLICABLE,Organization/EMS-level control is evaluated at REPO-EMS rather than separately for each product repository.,Engineering Management,POLICY_ORG_ONLY
2D,EMS-CTRL-002,Controlled Document Management,REPO-004,nono,NOT_APPLICABLE,Organization/EMS-level control is evaluated at REPO-EMS rather than separately for each product repository.,Engineering Management,POLICY_ORG_ONLY
2D,EMS-CTRL-002,Controlled Document Management,REPO-005,olive,NOT_APPLICABLE,Organization/EMS-level control is evaluated at REPO-EMS rather than separately for each product repository.,Engineering Management,POLICY_ORG_ONLY
2D,EMS-CTRL-002,Controlled Document Management,REPO-006,popeye,NOT_APPLICABLE,Organization/EMS-level control is evaluated at REPO-EMS rather than separately for each product repository.,Engineering Management,POLICY_ORG_ONLY
2D,EMS-CTRL-002,Controlled Document Management,REPO-EMS,ems,APPLICABLE,EMS repository is the authoritative target for EMS/organization controls and its own engineering controls.,Engineering Management,POLICY_EMS_TARGET
2D,EMS-CTRL-003,Third-party dependency governance,REPO-001,bluto,NOT_APPLICABLE,Organization/EMS-level control is evaluated at REPO-EMS rather than separately for each product repository.,Engineering Management,POLICY_ORG_ONLY
2D,EMS-CTRL-003,Third-party dependency governance,REPO-002,fiskroad,NOT_APPLICABLE,Organization/EMS-level control is evaluated at REPO-EMS rather than separately for each product repository.,Engineering Management,POLICY_ORG_ONLY
2D,EMS-CTRL-003,Third-party dependency governance,REPO-003,hometown,NOT_APPLICABLE,Organization/EMS-level control is evaluated at REPO-EMS rather than separately for each product repository.,Engineering Management,POLICY_ORG_ONLY
2D,EMS-CTRL-003,Third-party dependency governance,REPO-004,nono,NOT_APPLICABLE,Organization/EMS-level control is evaluated at REPO-EMS rather than separately for each product repository.,Engineering Management,POLICY_ORG_ONLY
2D,EMS-CTRL-003,Third-party dependency governance,REPO-005,olive,NOT_APPLICABLE,Organization/EMS-level control is evaluated at REPO-EMS rather than separately for each product repository.,Engineering Management,POLICY_ORG_ONLY
2D,EMS-CTRL-003,Third-party dependency governance,REPO-006,popeye,NOT_APPLICABLE,Organization/EMS-level control is evaluated at REPO-EMS rather than separately for each product repository.,Engineering Management,POLICY_ORG_ONLY
2D,EMS-CTRL-003,Third-party dependency governance,REPO-EMS,ems,APPLICABLE,EMS repository is the authoritative target for EMS/organization controls and its own engineering controls.,Engineering Management,POLICY_EMS_TARGET
2D,EMS-CTRL-004,Secrets and identity protection,REPO-001,bluto,NOT_APPLICABLE,Organization/EMS-level control is evaluated at REPO-EMS rather than separately for each product repository.,Engineering Management,POLICY_ORG_ONLY
2D,EMS-CTRL-004,Secrets and identity protection,REPO-002,fiskroad,NOT_APPLICABLE,Organization/EMS-level control is evaluated at REPO-EMS rather than separately for each product repository.,Engineering Management,POLICY_ORG_ONLY
2D,EMS-CTRL-004,Secrets and identity protection,REPO-003,hometown,NOT_APPLICABLE,Organization/EMS-level control is evaluated at REPO-EMS rather than separately for each product repository.,Engineering Management,POLICY_ORG_ONLY
2D,EMS-CTRL-004,Secrets and identity protection,REPO-004,nono,NOT_APPLICABLE,Organization/EMS-level control is evaluated at REPO-EMS rather than separately for each product repository.,Engineering Management,POLICY_ORG_ONLY
2D,EMS-CTRL-004,Secrets and identity protection,REPO-005,olive,NOT_APPLICABLE,Organization/EMS-level control is evaluated at REPO-EMS rather than separately for each product repository.,Engineering Management,POLICY_ORG_ONLY
