"wave","control_id","control_name","target_id","repository_name","current_decision","current_rationale","decision_owner","decision_source","human_decision","human_rationale","human_decision_owner","human_decision_source","assessment_proposal","assessment_confidence","assessment_evidence_paths","assessment_rationale"
"2D","EMS-CTRL-041","Infrastructure as Code Required","REPO-001","bluto","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: .github/workflows/wp002-ci.yml; docs/01-foundation-governance/adrs/ADR-0014-PROPOSED-INFRASTRUCTURE-AS-CODE.md; implementation/decisions/TECHNOLOGY-SELECTION-SUMMARY.md; implementation/plan/MASTER-IMPLEMENTATION-PLAN.md; implementation/plan/WORK-PACKAGE-INDEX.yaml","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH",".github/workflows/wp002-ci.yml;docs/01-foundation-governance/adrs/ADR-0014-PROPOSED-INFRASTRUCTURE-AS-CODE.md;implementation/decisions/TECHNOLOGY-SELECTION-SUMMARY.md;implementation/plan/MASTER-IMPLEMENTATION-PLAN.md;implementation/plan/WORK-PACKAGE-INDEX.yaml;implementation/runbooks/wp-012-operational-smoke.md;implementation/infra/terraform/main.tf;implementation/infra/terraform/outputs.tf;implementation/infra/terraform/variables.tf;implementation/infra/terraform/versions.tf;implementation/tests/Bluto.Validation.Tests/CiConfigurationTests.cs;implementation/tests/Smoke/OperationalSmokeContractTests.cs;repository/evidence/rvec/implementation-wp-012-gate-01.json;repository/evidence/rvec/implementation-wp-012-gate-02.json;repository/evidence/rvec/implementation-wp-012-gate-03.json;repository/evidence/rvec/implementation-wp-012-gate-04.json;repository/evidence/rvec/implementation-wp-012-gate-05.json;repository/evidence/rvec/implementation-wp-012-gate-06.json;repository/evidence/rvec/implementation-wp-012-gate-07.json;repository/evidence/rvec/implementation-wp-012-gate-08.json","Repository content contains evidence relevant to this control: .github/workflows/wp002-ci.yml; docs/01-foundation-governance/adrs/ADR-0014-PROPOSED-INFRASTRUCTURE-AS-CODE.md; implementation/decisions/TECHNOLOGY-SELECTION-SUMMARY.md; implementation/plan/MASTER-IMPLEMENTATION-PLAN.md; implementation/plan/WORK-PACKAGE-INDEX.yaml"
"2D","EMS-CTRL-041","Infrastructure as Code Required","REPO-002","fiskroad","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: README.md; STATE.md; docs/AGENT_COORDINATION.md; docs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md; specs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","README.md;STATE.md;docs/AGENT_COORDINATION.md;docs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md;specs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md;specs/POC_READINESS_INVENTORY.md;specs/PROGRAM_ROADMAP_REQUIREMENTS_v0.1.md;workspace/popeye/README.md;workspace/popeye/STATE.md;workspace/bluto/.github/workflows/wp002-ci.yml;workspace/bluto/docs/01-foundation-governance/adrs/ADR-0014-PROPOSED-INFRASTRUCTURE-AS-CODE.md;workspace/bluto/implementation/decisions/TECHNOLOGY-SELECTION-SUMMARY.md;workspace/bluto/implementation/plan/MASTER-IMPLEMENTATION-PLAN.md;workspace/bluto/implementation/plan/WORK-PACKAGE-INDEX.yaml;workspace/bluto/implementation/runbooks/wp-012-operational-smoke.md;workspace/bluto/implementation/infra/terraform/main.tf;workspace/bluto/implementation/infra/terraform/outputs.tf;workspace/bluto/implementation/infra/terraform/variables.tf;workspace/bluto/implementation/infra/terraform/versions.tf;workspace/bluto/implementation/tests/Bluto.Validation.Tests/CiConfigurationTests.cs","Repository content contains evidence relevant to this control: README.md; STATE.md; docs/AGENT_COORDINATION.md; docs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md; specs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md"
"2D","EMS-CTRL-041","Infrastructure as Code Required","REPO-003","hometown","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: specs/HOMETOWN_IMPLEMENTATION_REVIEW_v0.1.md; specs/NEXUS_CRM_INTEGRATION_NOTES_v0.1.md; specs/ROADMAP.md; specs/STATE.md; specs/attic/HOMETOWN_INFRA_TERRAFORM_SUPERSEDED_v0.1.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","specs/HOMETOWN_IMPLEMENTATION_REVIEW_v0.1.md;specs/NEXUS_CRM_INTEGRATION_NOTES_v0.1.md;specs/ROADMAP.md;specs/STATE.md;specs/attic/HOMETOWN_INFRA_TERRAFORM_SUPERSEDED_v0.1.md","Repository content contains evidence relevant to this control: specs/HOMETOWN_IMPLEMENTATION_REVIEW_v0.1.md; specs/NEXUS_CRM_INTEGRATION_NOTES_v0.1.md; specs/ROADMAP.md; specs/STATE.md; specs/attic/HOMETOWN_INFRA_TERRAFORM_SUPERSEDED_v0.1.md"
"2D","EMS-CTRL-041","Infrastructure as Code Required","REPO-004","nono","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: .planning/REQUIREMENTS.md; proj/POC-zt-infra-e5-local-provisioner.md; .claude/worktrees/agent-a0e20603/crates/nono/src/trust/policy.rs; .claude/worktrees/agent-a0e20603/crates/nono-cli/data/policy.json; .claude/worktrees/agent-a58db889/crates/nono/src/trust/policy.rs","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH",".planning/REQUIREMENTS.md;proj/POC-zt-infra-e5-local-provisioner.md;.claude/worktrees/agent-a0e20603/crates/nono/src/trust/policy.rs;.claude/worktrees/agent-a0e20603/crates/nono-cli/data/policy.json;.claude/worktrees/agent-a58db889/crates/nono/src/trust/policy.rs;.claude/worktrees/agent-a58db889/crates/nono-cli/data/policy.json;.claude/worktrees/agent-a6cfabfc/crates/nono/src/trust/policy.rs;.claude/worktrees/agent-a6cfabfc/crates/nono-cli/data/policy.json;.claude/worktrees/agent-a96df455/crates/nono/src/trust/policy.rs;.claude/worktrees/agent-a96df455/crates/nono-cli/data/policy.json;.claude/worktrees/agent-a9dd9fce/crates/nono/src/trust/policy.rs;.claude/worktrees/agent-a9dd9fce/crates/nono-cli/data/policy.json;.claude/worktrees/agent-ab8ba649/crates/nono/src/trust/policy.rs;.claude/worktrees/agent-ab8ba649/crates/nono-cli/data/policy.json;.claude/worktrees/agent-ad794885/crates/nono/src/trust/policy.rs;.claude/worktrees/agent-ad794885/crates/nono-cli/data/policy.json;.claude/worktrees/agent-ae13967c/crates/nono/src/trust/policy.rs;.claude/worktrees/agent-ae13967c/crates/nono-cli/data/policy.json;.claude/worktrees/agent-ae13967c/crates/nono-cli/tests/env_vars.rs;.claude/worktrees/agent-ae13967c/crates/nono-cli/src/exec_strategy_windows/launch.rs","Repository content contains evidence relevant to this control: .planning/REQUIREMENTS.md; proj/POC-zt-infra-e5-local-provisioner.md; .claude/worktrees/agent-a0e20603/crates/nono/src/trust/policy.rs; .claude/worktrees/agent-a0e20603/crates/nono-cli/data/policy.json; .claude/worktrees/agent-a58db889/crates/nono/src/trust/policy.rs"
"2D","EMS-CTRL-041","Infrastructure as Code Required","REPO-005","olive","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","No repository-content evidence was detected; absence of evidence is not sufficient to conclude NOT_APPLICABLE.","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","HUMAN_REVIEW_REQUIRED","LOW","","No repository-content evidence was detected; absence of evidence is not sufficient to conclude NOT_APPLICABLE."
"2D","EMS-CTRL-041","Infrastructure as Code Required","REPO-006","popeye","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: README.md; STATE.md; config/litellm.azure.example.yaml; scripts/intune-baseurl-profile.ps1; specs/ADR-002-gateway-config-delivery.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","README.md;STATE.md;config/litellm.azure.example.yaml;scripts/intune-baseurl-profile.ps1;specs/ADR-002-gateway-config-delivery.md;specs/AI_USAGE_GOVERNANCE_ROADMAP_v0.2.md;specs/DATA_CLASS_ENFORCEMENT_IMPLEMENTATION_PROMPT_v0.1.md;specs/DATA_CLASS_ENFORCEMENT_IMPLEMENTATION_SPEC_v0.1.md;specs/GATEWAY_INFRASTRUCTURE_PLAN_v0.1.md;specs/POPEYE_IMPLEMENTATION_REVIEW_REMEDIATION_PROMPT_v0.1.md;specs/POPEYE_IMPLEMENTATION_REVIEW_REMEDIATION_SPEC_v0.1.md;specs/POPEYE_IMPLEMENTATION_REVIEW_v0.1.md;specs/POPEYE_NETWORK_VERIFICATION_PRIMER.md;specs/POPEYE_STAGE1_KICKOFF_v0.1.md;specs/README.md;specs/ROADMAP.md;specs/STAGE1_STAGE2_MVP_COMPLETION_CHECKLIST_v0.1.md;specs/STATE_BACKEND_ACCESS_CONFIRMATION_v0.1.md;.github/workflows/terraform.yml;envs/aws-use1/main.tf","Repository content contains evidence relevant to this control: README.md; STATE.md; config/litellm.azure.example.yaml; scripts/intune-baseurl-profile.ps1; specs/ADR-002-gateway-config-delivery.md"
"2D","EMS-CTRL-042","IaC Security Scanning","REPO-001","bluto","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: implementation/README.md; .github/workflows/wp002-ci.yml; docs/01-foundation-governance/adrs/ADR-0011-PROPOSED-DEPENDENCY-VULNERABILITY-SCANNING.md; implementation/decisions/TECHNOLOGY-SELECTION-SUMMARY.md; implementation/plan/MASTER-IMPLEMENTATION-PLAN.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","implementation/README.md;.github/workflows/wp002-ci.yml;docs/01-foundation-governance/adrs/ADR-0011-PROPOSED-DEPENDENCY-VULNERABILITY-SCANNING.md;implementation/decisions/TECHNOLOGY-SELECTION-SUMMARY.md;implementation/plan/MASTER-IMPLEMENTATION-PLAN.md;implementation/plan/WORK-PACKAGE-INDEX.yaml;implementation/tests/Bluto.Validation.Tests/CiConfigurationTests.cs;repository/evidence/rvec/implementation-wp-007-gate-01.json;repository/evidence/rvec/implementation-wp-007-gate-02.json;repository/evidence/rvec/implementation-wp-007-gate-03.json;repository/evidence/rvec/implementation-wp-007-gate-04.json;repository/evidence/rvec/implementation-wp-007-gate-05.json;repository/evidence/rvec/implementation-wp-007-gate-06.json;repository/evidence/rvec/implementation-wp-007-gate-07.json;repository/evidence/rvec/implementation-wp-007-gate-08.json;repository/evidence/rvec/implementation-wp-011-gate-01.json;repository/evidence/rvec/implementation-wp-011-gate-02.json;repository/evidence/rvec/implementation-wp-011-gate-03.json;repository/evidence/rvec/implementation-wp-011-gate-04.json;repository/evidence/rvec/implementation-wp-011-gate-05.json","Repository content contains evidence relevant to this control: implementation/README.md; .github/workflows/wp002-ci.yml; docs/01-foundation-governance/adrs/ADR-0011-PROPOSED-DEPENDENCY-VULNERABILITY-SCANNING.md; implementation/decisions/TECHNOLOGY-SELECTION-SUMMARY.md; implementation/plan/MASTER-IMPLEMENTATION-PLAN.md"
"2D","EMS-CTRL-042","IaC Security Scanning","REPO-002","fiskroad","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: workspace/popeye/STATE.md; workspace/bluto/implementation/README.md; workspace/bluto/.github/workflows/wp002-ci.yml; workspace/bluto/docs/01-foundation-governance/adrs/ADR-0011-PROPOSED-DEPENDENCY-VULNERABILITY-SCANNING.md; workspace/bluto/implementation/decisions/TECHNOLOGY-SELECTION-SUMMARY.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","workspace/popeye/STATE.md;workspace/bluto/implementation/README.md;workspace/bluto/.github/workflows/wp002-ci.yml;workspace/bluto/docs/01-foundation-governance/adrs/ADR-0011-PROPOSED-DEPENDENCY-VULNERABILITY-SCANNING.md;workspace/bluto/implementation/decisions/TECHNOLOGY-SELECTION-SUMMARY.md;workspace/bluto/implementation/plan/MASTER-IMPLEMENTATION-PLAN.md;workspace/bluto/implementation/plan/WORK-PACKAGE-INDEX.yaml;workspace/bluto/implementation/tests/Bluto.Validation.Tests/CiConfigurationTests.cs;workspace/bluto/repository/evidence/rvec/implementation-wp-007-gate-01.json;workspace/bluto/repository/evidence/rvec/implementation-wp-007-gate-02.json;workspace/bluto/repository/evidence/rvec/implementation-wp-007-gate-03.json;workspace/bluto/repository/evidence/rvec/implementation-wp-007-gate-04.json;workspace/bluto/repository/evidence/rvec/implementation-wp-007-gate-05.json;workspace/bluto/repository/evidence/rvec/implementation-wp-007-gate-06.json;workspace/bluto/repository/evidence/rvec/implementation-wp-007-gate-07.json;workspace/bluto/repository/evidence/rvec/implementation-wp-007-gate-08.json;workspace/bluto/repository/evidence/rvec/implementation-wp-011-gate-01.json;workspace/bluto/repository/evidence/rvec/implementation-wp-011-gate-02.json;workspace/bluto/repository/evidence/rvec/implementation-wp-011-gate-03.json;workspace/bluto/repository/evidence/rvec/implementation-wp-011-gate-04.json","Repository content contains evidence relevant to this control: workspace/popeye/STATE.md; workspace/bluto/implementation/README.md; workspace/bluto/.github/workflows/wp002-ci.yml; workspace/bluto/docs/01-foundation-governance/adrs/ADR-0011-PROPOSED-DEPENDENCY-VULNERABILITY-SCANNING.md; workspace/bluto/implementation/decisions/TECHNOLOGY-SELECTION-SUMMARY.md"
"2D","EMS-CTRL-042","IaC Security Scanning","REPO-003","hometown","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","No repository-content evidence was detected; absence of evidence is not sufficient to conclude NOT_APPLICABLE.","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","HUMAN_REVIEW_REQUIRED","LOW","","No repository-content evidence was detected; absence of evidence is not sufficient to conclude NOT_APPLICABLE."
"2D","EMS-CTRL-042","IaC Security Scanning","REPO-004","nono","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: .planning/ROADMAP.md; scripts/verify-authenticode.ps1; .planning/phases/104-smoke-green-cut-the-trusted-signed-release/104-01-PLAN.md; .planning/phases/104-smoke-green-cut-the-trusted-signed-release/104-01-SUMMARY.md; .planning/phases/104-smoke-green-cut-the-trusted-signed-release/104-RESEARCH.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH",".planning/ROADMAP.md;scripts/verify-authenticode.ps1;.planning/phases/104-smoke-green-cut-the-trusted-signed-release/104-01-PLAN.md;.planning/phases/104-smoke-green-cut-the-trusted-signed-release/104-01-SUMMARY.md;.planning/phases/104-smoke-green-cut-the-trusted-signed-release/104-RESEARCH.md;.planning/phases/104-smoke-green-cut-the-trusted-signed-release/104-VALIDATION.md;scripts/tests/test_verify_authenticode.ps1","Repository content contains evidence relevant to this control: .planning/ROADMAP.md; scripts/verify-authenticode.ps1; .planning/phases/104-smoke-green-cut-the-trusted-signed-release/104-01-PLAN.md; .planning/phases/104-smoke-green-cut-the-trusted-signed-release/104-01-SUMMARY.md; .planning/phases/104-smoke-green-cut-the-trusted-signed-release/104-RESEARCH.md"
"2D","EMS-CTRL-042","IaC Security Scanning","REPO-005","olive","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","No repository-content evidence was detected; absence of evidence is not sufficient to conclude NOT_APPLICABLE.","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","HUMAN_REVIEW_REQUIRED","LOW","","No repository-content evidence was detected; absence of evidence is not sufficient to conclude NOT_APPLICABLE."
"2D","EMS-CTRL-042","IaC Security Scanning","REPO-006","popeye","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: STATE.md; specs/DATA_CLASS_ENFORCEMENT_IMPLEMENTATION_PROMPT_v0.1.md; specs/GATEWAY_INFRASTRUCTURE_PLAN_v0.1.md; specs/POPEYE_IMPLEMENTATION_REVIEW_REMEDIATION_PROMPT_v0.1.md; specs/POPEYE_IMPLEMENTATION_REVIEW_REMEDIATION_SPEC_v0.1.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","STATE.md;specs/DATA_CLASS_ENFORCEMENT_IMPLEMENTATION_PROMPT_v0.1.md;specs/GATEWAY_INFRASTRUCTURE_PLAN_v0.1.md;specs/POPEYE_IMPLEMENTATION_REVIEW_REMEDIATION_PROMPT_v0.1.md;specs/POPEYE_IMPLEMENTATION_REVIEW_REMEDIATION_SPEC_v0.1.md;specs/POPEYE_IMPLEMENTATION_REVIEW_v0.1.md;.github/workflows/terraform.yml","Repository content contains evidence relevant to this control: STATE.md; specs/DATA_CLASS_ENFORCEMENT_IMPLEMENTATION_PROMPT_v0.1.md; specs/GATEWAY_INFRASTRUCTURE_PLAN_v0.1.md; specs/POPEYE_IMPLEMENTATION_REVIEW_REMEDIATION_PROMPT_v0.1.md; specs/POPEYE_IMPLEMENTATION_REVIEW_REMEDIATION_SPEC_v0.1.md"
